orpha_code,name,expert_link,disorder_type,disorder_group,prevalence_class,prevalence_geo,prevalence_value,inheritance,age_of_onset,average_age_onset,average_age_death,complexity_score,complexity_level
166024,Sindrome displasia epifisaria multipla-macrocefalia-dismorfismi facciali,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166024,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
166032,Sindrome displasia epifisaria multipla-miniepifisi,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166032,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
58,Malattia di Alexander,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=58,Malattia,Malattia,<1 / 1 000 000,Japan,,,,,,5,Alta
166029,Sindrome displasia epifisaria multipla-displasia grave della porzione prossimale del femore,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166029,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
61,Alfa-mannosidosi,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=61,Malattia,Malattia,1-9 / 1 000 000,Europa,,,,,,4,Media
166038,"Condrodisplasia metafisaria, tipo Kaitila",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166038,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
166035,"Sindrome da brachidattilia, bassa statura, retinite pigmentosa",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166035,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
93,Aspartilglucosaminuria,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=93,Malattia,Malattia,1-9 / 1 000 000,Australia,,,,,,4,Media
585,Deficit multiplo di solfatasi,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=585,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
118,Beta-mannosidasi,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=118,Malattia,Malattia,1-9 / 1 000 000,Europa,,,,,,4,Media
141,Malattia di Canavan,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=141,Malattia,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
166063,"Ipoplasia pontocerebellare, tipo 4",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166063,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
166078,Malattia di von Willebrand tipo 1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166078,Sottotipo clinico,Sottotipo della malattia,1-5 / 10 000,Europa,,,,,,2,Bassa
166073,"Ipoplasia pontocerebellare, tipo 6",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166073,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
213,Cistinosi,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=213,Malattia,Malattia,1-9 / 1 000 000,Mondiale,,,,,,4,Media
166084,"Malattia di von Willebrand, tipo 2A",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166084,Sottotipo clinico,Sottotipo della malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
333,Malattia di Farber,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=333,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
166081,"Malattia di von Willebrand, tipo 2",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166081,Sottotipo clinico,Sottotipo della malattia,1-9 / 1 000 000,Mondiale,,,,,,4,Media
349,Fucosidosi,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=349,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
166090,"Malattia di von Willebrand, tipo 2M",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166090,Sottotipo clinico,Sottotipo della malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
365,Malattia da deposito di glicogeno da deficit di maltasi acida,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=365,Malattia,Malattia,1-9 / 1 000 000,Europa,,,,,,4,Media
166087,"Malattia di von Willebrand, tipo 2B",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166087,Sottotipo clinico,Sottotipo della malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
