"Anno di dimissione;""Codice Istituto"";""Denominazione Istituto"";""Num decessi"";""Num dimissioni a domicilio"";""Num dimissioni verso altra struttura"""
"2022;""01000300"";""OSPEDALE MARIA VITTORIA"";""512"";""10.487"";""1.885"""
"2022;""01000401"";""OSPEDALE MAGGIORE"";""308"";""4.638"";""353"""
"2022;""01000402"";""OSPEDALE SANTA CROCE"";""376"";""7.497"";""802"""
"2022;""01000403"";""OSPEDALE SAN LORENZO"";""311"";""2.400"";""537"""
"2022;""01000404"";""DAY SURGERY DEL DISTRETTO DI NICHELINO"";""***"";""39"";""***"""
"2022;""01000501"";""OSPEDALE SAN BIAGIO"";""215"";""4.789"";""590"""
"2022;""01000502"";""STABILIMENTO OSPEDALIERO CASTELLI"";""265"";""4.624"";""631"""
"2022;""01000503"";""C.O.Q. OSPEDALE MADONNA DEL POPOLO"";""22"";""4.382"";""1.093"""
"2022;""01000600"";""ISTITUTO SS. TRINITÀ - BORGOMANERO"";""401"";""8.940"";""1.395"""
"2022;""01000700"";""OSPEDALE MARTINI"";""415"";""8.406"";""1.183"""
"2022;""01000801"";""PRESIDIO OSP. CARDINAL G. MASSAIA"";""1.077"";""15.747"";""1.983"""
"2022;""01000901"";""OSPEDALE SANT'ANDREA"";""488"";""10.676"";""1.130"""
"2022;""01000902"";""OSPEDALE SS.PIETRO E PAOLO"";""168"";""1.590"";""430"""
"2022;""01001000"";""OSPEDALE OFTALMICO"";""134"";""2.898"";""391"""
"2022;""01001100"";""TORINO NORD EMERGENZA SAN GIOVANNI BOSCO"";""752"";""10.031"";""1.968"""
"2022;""01001300"";""OSPEDALE AMEDEO DI SAVOIA"";""77"";""1.163"";""290"""
"2022;""01001700"";""OSPEDALE CIVICO CHIVASSO"";""446"";""8.195"";""1.334"""
"2022;""01001701"";""OSPEDALE CIVICO CHIVASSO"";""***"";""18"";""***"""
"2022;""01001901"";""PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'"";""319"";""8.125"";""1.107"""
"2022;""01001903"";""PRESIDIO OSPED. RIUNITO SEDE DI LANZO"";""198"";""349"";""245"""
"2022;""01002301"";""OSPEDALE CIVILE DI IVREA"";""412"";""7.699"";""1.024"""
"2022;""01002302"";""OSPEDALE CIVILE DI CUORGNE'"";""209"";""1.536"";""396"""
"2022;""01002304"";""SAAPA S.P.A."";""98"";""647"";""465"""
"2022;""01002601"";""OSPEDALE SANTO SPIRITO CASALE"";""495"";""6.823"";""1.337"""
"2022;""01002603"";""OSPEDALE SS. ANTONIO E MARGHERITA TORTON"";""249"";""2.503"";""584"""
"2022;""01002604"";""OSPEDALE SAN GIACOMO NOVI"";""418"";""6.035"";""1.008"""
"2022;""01002605"";""OSPEDALE CIVILE ACQUI"";""332"";""2.127"";""350"""
"2022;""01002606"";""OSPEDALE CIVILE OVADA"";""91"";""563"";""108"""
"2022;""01003001"";""OSPEDALE CIVILE """"E.AGNELLI"""""";""493"";""8.249"";""1.430"""
"2022;""01003003"";""OSPEDALE DI POMARETTO"";""32"";""32"";""75"""
"2022;""01003200"";""OSPEDALE DEGLI INFERMI"";""745"";""14.022"";""1.760"""
"2022;""01003800"";""OSPEDALE MICHELE FERRERO E PIETRO FERRER"";""427"";""11.672"";""1.303"""
"2022;""01007901"";""OSPEDALE DEGLI INFERMI"";""779"";""10.630"";""1.725"""
"2022;""01007904"";""OSPEDALE CIVILE DI SUSA"";""123"";""1.598"";""341"""
