"Anno di dimissione;""Codice Istituto"";""Denominazione Istituto"";""Descrizione Sesso"";""Cl_età_0-5"";""Cl_età_06-12"";""Cl_età_13-18"";""Cl_età_19-24"";""Cl_età_25-34"";""Cl_età_35-44"";""Cl_età_45-54"";""Cl_età_55-64"";""Cl_età_65-74"";""Cl_età_over_75"""
"2022;""01000300"";""OSPEDALE MARIA VITTORIA"";""Femmina"";""647"";""59"";""105"";""300"";""940"";""787"";""627"";""589"";""762"";""1.888"""
"2022;""01000300"";""OSPEDALE MARIA VITTORIA"";""Maschio"";""721"";""77"";""174"";""227"";""336"";""356"";""634"";""877"";""1.032"";""1.746"""
"2022;""01000401"";""OSPEDALE MAGGIORE"";""Femmina"";""266"";""24"";""29"";""69"";""446"";""305"";""252"";""216"";""374"";""998"""
"2022;""01000401"";""OSPEDALE MAGGIORE"";""Maschio"";""280"";""25"";""54"";""51"";""69"";""74"";""190"";""316"";""367"";""894"""
"2022;""01000402"";""OSPEDALE SANTA CROCE"";""Femmina"";""585"";""46"";""108"";""173"";""880"";""665"";""423"";""431"";""493"";""1.108"""
"2022;""01000402"";""OSPEDALE SANTA CROCE"";""Maschio"";""669"";""67"";""86"";""73"";""94"";""159"";""361"";""502"";""620"";""1.132"""
"2022;""01000403"";""OSPEDALE SAN LORENZO"";""Femmina"";""***"";""***"";""***"";""11"";""23"";""57"";""138"";""190"";""316"";""756"""
"2022;""01000403"";""OSPEDALE SAN LORENZO"";""Maschio"";""***"";""***"";""6"";""13"";""42"";""39"";""115"";""294"";""431"";""816"""
"2022;""01000404"";""DAY SURGERY DEL DISTRETTO DI NICHELINO"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""10"";""***"";""***"";""***"""
"2022;""01000404"";""DAY SURGERY DEL DISTRETTO DI NICHELINO"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"""
"2022;""01000501"";""OSPEDALE SAN BIAGIO"";""Femmina"";""42"";""10"";""19"";""59"";""153"";""145"";""213"";""350"";""468"";""1.004"""
"2022;""01000501"";""OSPEDALE SAN BIAGIO"";""Maschio"";""52"";""13"";""51"";""68"";""107"";""111"";""285"";""606"";""803"";""1.035"""
"2022;""01000502"";""STABILIMENTO OSPEDALIERO CASTELLI"";""Femmina"";""303"";""29"";""55"";""110"";""492"";""431"";""320"";""346"";""395"";""900"""
"2022;""01000502"";""STABILIMENTO OSPEDALIERO CASTELLI"";""Maschio"";""313"";""46"";""73"";""42"";""58"";""80"";""200"";""281"";""362"";""684"""
"2022;""01000503"";""C.O.Q. OSPEDALE MADONNA DEL POPOLO"";""Femmina"";""***"";""47"";""64"";""53"";""60"";""110"";""314"";""538"";""623"";""810"""
"2022;""01000503"";""C.O.Q. OSPEDALE MADONNA DEL POPOLO"";""Maschio"";""***"";""96"";""107"";""76"";""128"";""146"";""385"";""586"";""731"";""620"""
"2022;""01000600"";""ISTITUTO SS. TRINITÀ - BORGOMANERO"";""Femmina"";""546"";""58"";""72"";""142"";""682"";""582"";""474"";""640"";""732"";""1.749"""
"2022;""01000600"";""ISTITUTO SS. TRINITÀ - BORGOMANERO"";""Maschio"";""550"";""86"";""77"";""119"";""185"";""210"";""471"";""687"";""1.062"";""1.612"""
"2022;""01000700"";""OSPEDALE MARTINI"";""Femmina"";""609"";""90"";""146"";""382"";""880"";""574"";""451"";""395"";""523"";""1.499"""
"2022;""01000700"";""OSPEDALE MARTINI"";""Maschio"";""662"";""144"";""160"";""195"";""220"";""210"";""360"";""507"";""679"";""1.318"""
"2022;""01000801"";""PRESIDIO OSP. CARDINAL G. MASSAIA"";""Femmina"";""763"";""52"";""122"";""346"";""1.341"";""1.035"";""846"";""993"";""1.371"";""3.213"""
"2022;""01000801"";""PRESIDIO OSP. CARDINAL G. MASSAIA"";""Maschio"";""818"";""70"";""132"";""156"";""268"";""308"";""725"";""1.263"";""1.973"";""3.012"""
"2022;""01000901"";""OSPEDALE SANT'ANDREA"";""Femmina"";""399"";""30"";""94"";""193"";""483"";""427"";""570"";""738"";""883"";""1.835"""
"2022;""01000901"";""OSPEDALE SANT'ANDREA"";""Maschio"";""438"";""52"";""125"";""178"";""242"";""313"";""644"";""1.099"";""1.486"";""2.065"""
